Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Text
1,RU001,U001,ivan_petrov,3,3,5,1699990000,Отлично Я купил этот корм для своей собаки и она ест его с большим удовольствием. Качество продукта отличное
2,RU002,U002,olga_sidorova,1,1,4,1699990500,Очень понравилось Собака ест корм но иногда оставляет немного. В целом качество хорошее
3,RU003,U003,maria_ivanova,2,2,1,1699991000,Разочарована Товар пришёл с повреждённой упаковкой
4,RU004,U004,sergey_k,0,0,2,1699991500,Не понравилось Корм плохого качества
5,RU005,U005,anna_k,1,1,5,1699992000,Супер Очень довольна покупкой. Продукт соответствует описанию
6,RU006,U006,pavel_m,0,0,4,1699992500,Великолепно Корм хороший
7,RU007,U007,irina_s,2,2,1,1699993000,Плохое качество Корм пришёл просроченный
8,RU008,U008,oleg_r,1,1,2,1699993500,Разочарован Не понравился корм
9,RU009,U009,elena_k,0,0,5,1699994000,Рекомендую Отличный продукт
10,RU010,U010,sergey_l,3,3,3,1699994500,Средне Корм обычный
11,RU002,U011,anna_pet,2,2,4,1699995000,Очень хорошо Корм качественный
12,RU003,U012,oleg_s,1,1,1,1699995500,Ужасно Продукт пришёл испорченный
13,RU004,U013,maria_l,0,0,5,1699996000,Отлично Корм понравился собаке
14,RU005,U014,ivan_k,3,3,2,1699996500,Разочарован Корм плохого качества
15,RU006,U015,olga_m,1,1,5,1699997000,Супер Очень довольна кормом
16,RU007,U016,pavel_l,0,0,3,1699997500,Средне Корм обычный
17,RU008,U017,elena_s,2,2,4,1699998000,Рекомендую Продукт понравился
18,RU009,U018,sergey_m,1,1,2,1699998500,Не понравилось корм пришёл не хороший
19,RU010,U019,irina_k,0,0,5,1699999000,Великолепно Корм отличный
20,RU001,U020,anna_l,3,3,1,1699999500,Плохо Товар пришёл с дефектом
21,RU001,U021,ivan_r,1,1,5,1699980000,Отлично Продукт отличный
22,RU002,U022,olga_p,0,0,4,1699980500,Очень понравилось Корм хороший
23,RU003,U023,maria_s,2,2,2,1699981000,Разочарована Корм плохой
24,RU004,U024,sergey_p,3,3,5,1699981500,Супер Очень довольна покупкой
25,RU005,U025,anna_s,1,1,1,1699982000,Ужасно Товар испорчен
26,RU006,U026,pavel_s,0,0,3,1699982500,Средне Корм обычный
27,RU007,U027,elena_m,2,2,4,1699983000,Рекомендую Корм понравился
28,RU008,U028,irina_m,1,1,5,1699983500,Великолепно Корм качественный
29,RU009,U029,oleg_m,0,0,2,1699984000,Не понравилось Корм плохой
30,RU010,U030,sergey_s,3,3,1,1699984500,Плохо Продукт испорчен
